除權息日期,代號,名稱,除權息前收盤價,除權息參考價,權值,息值,權值+息值,權/息,漲停價,跌停價,開始交易基準價,減除股利參考價,現金股利,每仟股無償配股,現金增資股數,現金增資認購價,公開承銷股數,員工認購股數,原股東認購股數,按持股比例仟股認購
113/07/04,1336,台翰              ,20.75,20.34,0.000000,0.410000,0.410000,除息,22.35,18.35,20.35,20.34,0.41000000,0.00000000,0,0.00,0,0,0,0.00000000
113/07/04,1570,力肯              ,31.85,30.85,0.000000,1.000000,1.000000,除息,33.90,27.80,30.85,30.85,1.00000000,0.00000000,0,0.00,0,0,0,0.00000000
113/07/04,1580,新麥              ,160.00,151.00,0.000000,9.000000,9.000000,除息,166.00,136.00,151.00,151.00,9.00000000,0.00000000,0,0.00,0,0,0,0.00000000
113/07/04,3093,港建*             ,31.85,30.05,0.000000,1.800000,1.800000,除息,33.05,27.05,30.05,30.05,1.80000000,0.00000000,0,0.00,0,0,0,0.00000000
113/07/04,3213,茂訊              ,111.00,105.60,0.000000,5.400000,5.400000,除息,116.00,95.10,105.50,105.60,5.40000000,0.00000000,0,0.00,0,0,0,0.00000000
113/07/04,3217,優群              ,171.00,164.60,0.000000,6.400000,6.400000,除息,181.00,148.50,164.50,164.60,6.40000000,0.00000000,0,0.00,0,0,0,0.00000000
113/07/04,3303,岱稜              ,46.30,44.55,0.000000,1.750000,1.750000,除息,49.00,40.10,44.55,44.55,1.75000000,0.00000000,0,0.00,0,0,0,0.00000000
113/07/04,3479,安勤              ,116.00,110.01,0.000000,5.988682,5.988682,除息,121.00,99.10,110.00,110.01,5.98868238,0.00000000,0,0.00,0,0,0,0.00000000
113/07/04,3529,力旺              ,2560.00,2542.50,0.000000,17.498990,17.498990,除息,2795.00,2290.00,2545.00,2542.50,17.49899000,0.00000000,0,0.00,0,0,0,0.00000000
113/07/04,3540,曜越              ,48.45,47.55,0.000000,0.896266,0.896266,除息,52.30,42.80,47.55,47.55,0.89626600,0.00000000,0,0.00,0,0,0,0.00000000
113/07/04,3570,大塚              ,169.50,161.50,0.000000,8.000000,8.000000,除息,177.50,145.50,161.50,161.50,8.00000000,0.00000000,0,0.00,0,0,0,0.00000000
113/07/04,4102,永日              ,37.10,36.30,0.000000,0.800000,0.800000,除息,39.90,32.70,36.30,36.30,0.80000000,0.00000000,0,0.00,0,0,0,0.00000000
113/07/04,5347,世界              ,131.00,126.50,0.000000,4.500000,4.500000,除息,139.00,114.00,126.50,126.50,4.50000000,0.00000000,0,0.00,0,0,0,0.00000000
113/07/04,5452,佶優              ,35.85,35.70,0.000000,0.150000,0.150000,除息,39.25,32.15,35.70,35.70,0.15000000,0.00000000,0,0.00,0,0,0,0.00000000
113/07/04,5474,聰泰              ,191.00,187.50,0.000000,3.500000,3.500000,除息,206.00,169.00,187.50,187.50,3.50000000,0.00000000,0,0.00,0,0,0,0.00000000
113/07/04,5536,聖暉*             ,258.50,252.50,0.000000,6.000000,6.000000,除息,277.50,227.50,252.50,252.50,6.00000000,0.00000000,0,0.00,0,0,0,0.00000000
113/07/04,6121,新普              ,414.00,402.30,0.000000,11.700000,11.700000,除息,442.50,362.50,402.50,402.30,11.70000000,0.00000000,0,0.00,0,0,0,0.00000000
113/07/04,6270,倍微              ,32.20,31.20,0.000000,1.000000,1.000000,除息,34.30,28.10,31.20,31.20,1.00000000,0.00000000,0,0.00,0,0,0,0.00000000
113/07/04,6470,宇智              ,58.40,55.60,0.000000,2.800000,2.800000,除息,61.10,50.10,55.60,55.60,2.80000000,0.00000000,0,0.00,0,0,0,0.00000000
113/07/04,6751,智聯服務            ,72.20,70.20,0.000000,2.000000,2.000000,除息,77.20,63.20,70.20,70.20,2.00000000,0.00000000,0,0.00,0,0,0,0.00000000
113/07/04,6803,崑鼎              ,314.00,299.51,0.000000,14.486197,14.486197,除息,329.00,270.00,299.50,299.51,14.48619711,0.00000000,0,0.00,0,0,0,0.00000000
113/07/04,6811,宏碁資訊            ,288.00,279.50,0.000000,8.500000,8.500000,除息,307.00,252.00,279.50,279.50,8.50000000,0.00000000,0,0.00,0,0,0,0.00000000
113/07/04,6844,諾貝兒             ,161.00,154.90,0.000000,6.096825,6.096825,除息,170.00,139.50,155.00,154.90,6.09682477,0.00000000,0,0.00,0,0,0,0.00000000
113/07/04,6922,宸曜              ,172.50,168.93,0.000000,3.570000,3.570000,除息,185.50,152.50,169.00,168.93,3.57000000,0.00000000,0,0.00,0,0,0,0.00000000
113/07/04,8917,欣泰              ,61.70,59.50,0.000000,2.200000,2.200000,除息,65.40,53.60,59.50,59.50,2.20000000,0.00000000,0,0.00,0,0,0,0.00000000
