股票代碼,公司簡稱,當月營收(千元),上月營收(千元),去年當月營收(千元),上月比較增減(%),去年同月增減(%),當月累計營收(千元),去年累計營收(千元),前期比較增減(%),備註
5272,笙科,"22,513","33,295","25,976",-32.38,-13.33,"137,531","120,378",14.24,無
5274,信驊,"435,334","415,897","225,675",4.67,92.90,"1,864,704","1,123,085",66.03,本月及本年增減百分比達50％以上者，主係伺服器晶片營收較去年同期成長所致。
6510,精測,"225,745","221,338","238,465",1.99,-5.33,"1,122,735","1,150,738",-2.43,無
6532,瑞耘,"59,245","51,965","74,480",14.00,-20.45,"278,150","287,040",-3.09,無
6679,鈺太,"200,798","194,277","150,117",3.35,33.76,"893,791","643,568",38.88,無
6683,雍智科技,"130,760","132,283","110,363",-1.15,18.48,"643,918","602,828",6.81,無
6684,安格,"36,127","31,846","28,321",13.44,27.56,"158,737","93,504",69.76,今年1-5月為安格+展匯及其他子公司營收；去年1-3月為展匯營收，累計營收自去年4月起依反向收購會計處理計算
8054,安國,"237,866","144,842","155,203",64.22,53.26,"779,345","695,467",12.06,本集團合併營收增加係因自112年11月起併入星河半導體股份有限公司之營收，且星河公司5月之營收大幅成長所致。
8086,宏捷科,"434,450","446,544","197,292",-2.70,120.20,"2,167,214","657,727",229.50,因客戶需求增加
3211,順達,"1,562,032","1,183,348","1,767,563",32.00,-11.62,"6,172,038","6,825,435",-9.57,無
3213,茂訊,"268,771","215,724","237,251",24.59,13.28,"1,242,450","1,052,431",18.05,"系統事業部 158,715 仟元/通路事業部 110,056 仟元"
3323,加百裕,"507,251","474,300","658,857",6.94,-23.01,"2,176,279","2,897,806",-24.89,無
3625,西勝,"30,049","25,914","99,697",15.95,-69.85,"244,223","420,783",-41.95,訂單減少
5386,青雲,"173,917","132,780","279,311",30.98,-37.73,"1,039,084","766,643",35.53,無
5490,同亨,"166,105","76,852","78,460",116.13,111.70,"578,179","276,870",108.82,係因去年同期主要客戶出貨減少。
6121,新普,"6,801,457","6,081,164","6,752,845",11.84,0.71,"30,464,673","32,514,023",-6.30,無
6441,廣錠,"38,327","48,105","74,202",-20.32,-48.34,"189,591","305,481",-37.93,無
6680,鑫創電子,"68,073","42,924","67,193",58.58,1.30,"216,146","223,505",-3.29,無
3066,李洲,"17,224","19,010","17,874",-9.39,-3.63,"89,776","92,402",-2.84,無
3630,新鉅科,"161,958","154,324","131,592",4.94,23.07,"781,105","561,856",39.02,無
4972,湯石照明,"115,766","101,280","61,409",14.30,88.51,"453,555","291,081",55.81,112年10月31日以股份轉換方式合併大峽谷KY，自112年11月起營收公告金額包含該公司。
5315,光聯,"138,367","127,134","151,543",8.83,-8.69,"562,860","763,514",-26.28,無
7402,邑錡,"42,904","47,677","68,184",-10.01,-37.07,"217,037","224,182",-3.18,無
3081,聯亞,"68,682","102,346","60,368",-32.89,13.77,"495,007","479,748",3.18,無
3152,璟德,"134,488","134,442","120,029",0.03,12.04,"671,435","551,524",21.74,無
3564,其陽,"174,368","154,269","159,053",13.02,9.62,"751,316","821,498",-8.54,無
6486,互動,"170,201","194,647","141,220",-12.55,20.52,"797,766","611,904",30.37,無
6561,是方,"285,147","277,757","266,815",2.66,6.87,"1,418,107","1,327,121",6.85,無
3511,矽瑪,"112,272","117,754","173,007",-4.65,-35.10,"582,499","1,111,203",-47.57,無
4974,亞泰,"373,541","324,006","364,025",15.28,2.61,"1,552,755","1,566,747",-0.89,無
6114,久威,"76,946","89,429","122,413",-13.95,-37.14,"400,437","525,393",-23.78,無
6124,業強,"138,560","136,720","175,535",1.34,-21.06,"630,064","862,351",-26.93,無
6158,禾昌,"171,437","178,972","165,388",-4.21,3.65,"786,425","702,433",11.95,無
6194,育富,"126,964","127,501","110,749",-0.42,14.64,"564,194","541,443",4.20,無
6274,台燿,"1,940,296","1,822,102","1,347,897",6.48,43.94,"8,195,733","6,203,023",32.12,無
6418,詠昇,"84,604","73,802","78,651",14.63,7.56,"336,885","335,407",0.44,無
6538,倉和,"254,028","250,436","156,185",1.43,62.64,"1,040,074","734,764",41.55,本月主產品太陽能網版銷貨量大幅提升所致
6821,聯寶,"43,069","38,860","40,474",10.83,6.41,"196,445","230,898",-14.92,無
8109,博大,"130,587","137,621","172,741",-5.11,-24.40,"651,935","784,965",-16.94,無
8147,正淩,"78,703","121,078","82,551",-34.99,-4.66,"496,075","398,537",24.47,無
8291,尚茂,"1,809","1,844","4,481",-1.89,-59.62,"7,944","25,004",-68.22,係因消費性電子產品復甦力道仍不足，整體景氣的狀況恢復緩慢，再加上市場價格過低，以及生產交期過長，造成營收衰退所致。
6516,勤崴國際,"25,347","35,980","30,434",-29.55,-16.71,"152,207","194,180",-21.61,無
6590,普鴻,"44,234","46,683","57,341",-5.24,-22.85,"239,867","259,919",-7.71,無
6146,耕興,"380,172","380,165","385,279",0.00,-1.32,"1,904,089","2,091,052",-8.94,無
5508,永信建,"1,005,459","1,007,648","708,826",-0.21,41.84,"5,088,760","1,897,406",168.19,營收隨完工案量多寡而變化乃屬建設業特性，故本年業績大幅成長尚屬合理。
5516,雙喜,"152,287","216,450","288,519",-29.64,-47.21,"649,093","1,122,510",-42.17,無
5601,台聯櫃,"7,793","7,952","7,354",-1.99,5.96,"37,505","36,127",3.81,無
4529,淳紳,601,631,303,-4.75,98.34,"2,946","1,637",79.96,本年VS去年減少口罩收入增加電廠及租賃收入
5481,新華,"7,640","7,207","7,121",6.00,7.28,"38,981","37,238",4.68,無
8942,森鉅,"360,100","368,192","593,703",-2.19,-39.34,"1,815,340","2,647,202",-31.42,無
3293,鈊象,"1,572,119","1,449,005","1,159,684",8.49,35.56,"7,198,389","5,633,313",27.78,無
6482,弘煜科,"35,195","41,114","20,754",-14.39,69.58,"199,696","145,803",36.96,本月增加50%以上，主要係遊戲內容開放新章節，帶動營收表現亮眼。
3073,天方能源,"3,874","3,175","5,798",22.01,-33.18,"15,801","18,247",-13.40,無
8440,綠電,"87,277","78,627","81,118",11.00,7.59,"379,713","359,047",5.75,無
5321,美而快,"302,281","282,778","316,098",6.89,-4.37,"1,309,568","1,443,143",-9.25,無
6690,安碁資訊,"170,741","154,917","139,133",10.21,22.71,"777,272","678,017",14.63,無
8924,大田,"480,584","433,519","351,877",10.85,36.57,"1,916,847","1,873,629",2.30,無
4966,譜瑞-KY,"1,239,875","1,154,664","1,053,184",7.37,17.72,"6,208,634","5,057,040",22.77,無
