股票代碼,公司簡稱,財務結構-負債佔資產比率(%),財務結構-長期資金佔不動產、廠房及設備比率(%),償債能力-流動比率(%),償債能力-速動比率(%),償債能力-利息保障倍數(%),經營能力-應收款項週轉率(次),經營能力-平均收現日數,經營能力-存貨週轉率(次),經營能力-平均售貨日數,經營能力-不動產、廠房及設備週轉率(次),經營能力-總資產週轉率(次),獲利能力-資產報酬率(%),獲利能力-權益報酬率(%),獲利能力-稅前純益佔實收資本比率(%),獲利能力-純益率(%),獲利能力-每股盈餘(元),現金流量-現金流量比率(%),現金流量-現金流量允當比率(%),現金流量-現金再投資比率(%)
8936,國統,37.60,"2,342.92",282.65,144.55,65.71,8.25,44.24,1.11,328.82,10.45,0.36,7.17,11.32,44.50,19.69,2.88,48.90,96.91,7.54
8937,合騏,45.87,360.93,199.58,164.40,6.66,65.68,5.55,1.26,289.68,0.61,0.11,3.95,6.39,7.42,29.85,0.71,18.76,13.29,6.54
8938,明安,51.49,246.55,166.91,117.83,-0.68,3.53,103.39,3.61,101.10,4.02,0.95,-1.88,-5.13,-12.34,-2.56,0.50,59.73,87.78,18.98
8941,關中,54.86,"1,354.15",132.44,92.92,"1,214.57",6.08,60.03,5.66,64.48,32.32,1.33,8.52,19.93,68.42,6.57,6.34,33.17,169.69,16.40
8942,森鉅,35.98,224.32,144.54,105.17,22.06,8.81,41.43,2.23,163.67,1.14,0.35,10.09,16.39,107.82,28.25,8.77,20.97,88.93,4.46
9949,琉園,17.67,349.08,429.99,164.07,-43.26,5.82,62.71,0.35,"1,042.85",1.52,0.38,-6.46,-7.81,-7.09,-17.08,-0.69,-15.79,-294.48,-1.98
9950,萬國通,69.61,127.27,143.38,84.89,17.23,7.11,51.33,3.57,102.24,1.07,0.66,24.54,121.02,61.65,35.00,6.08,38.45,-20.65,10.55
9951,皇田,38.31,286.84,191.68,132.52,"6,199.61",4.86,75.10,3.65,100.00,3.91,0.91,7.66,12.39,71.23,8.30,5.77,36.25,210.50,10.01
9960,邁達康,49.89,"7,094.54",175.62,141.59,15.62,9.21,39.63,3.49,104.58,75.72,0.63,7.10,13.73,31.81,10.49,2.52,21.28,178.78,3.64
9962,有益,21.09,353.20,375.10,83.95,39.01,67.36,5.41,3.76,97.07,11.37,2.36,14.51,9.65,15.79,3.25,1.26,14.43,80.61,-7.97
