股票代碼,公司簡稱,償債能力-流動比率(%),償債能力-速動比率(%),償債能力-利息保障倍數(%),經營能力-應收款項週轉率(次),經營能力-平均收現日數,經營能力-存貨週轉率(次),經營能力-平均售貨日數,經營能力-不動產、廠房及設備週轉率(次),經營能力-總資產週轉率(次),獲利能力-資產報酬率(%),獲利能力-權益報酬率(%),獲利能力-稅前純益佔實收資本比率(%),獲利能力-純益率(%),獲利能力-每股盈餘(元)
4526,東台,124.44,57.67,1.67,2.66,137.21,1.28,285.15,3.29,0.55,1.69,2.26,3.65,1.59,0.2
4532,瑞智,142.93,124.93,16.62,2.49,146.58,7.85,46.49,2.97,0.69,3.54,7.39,22.14,4.75,1.5
4536,拓凱,225.92,187.41,22.14,4.81,75.88,2.83,128.97,2.21,0.62,9.92,17.09,219.86,15.27,15.58
4540,全球傳動,295.45,119.90,-1.08,2.65,137.73,0.82,445.12,0.89,0.33,-0.59,-3.08,-15.53,-4.03,-1.09
4545,銘鈺,187.81,139.25,7.33,4.51,80.93,3.31,110.27,1.80,0.65,3.03,4.42,15.31,4.00,1.08
4551,智伸科,167.71,117.83,15.74,2.82,129.43,2.93,124.57,1.45,0.54,4.22,6.39,61.55,7.23,4.47
4552,力達-KY,448.75,416.56,51.13,4.29,85.08,13.51,27.01,1.54,67.76,3.02,6.83,53.33,7.96,3.46
4555,氣立,375.70,198.59,0.07,3.20,114.06,1.02,357.84,0.66,0.30,-0.25,-1.14,-3.76,-2.44,-0.51
4557,永新-KY,165.42,134.25,16.92,3.07,118.89,3.74,97.59,3.65,0.87,11.10,18.26,114.03,12.05,9.02
4560,強信-KY,307.24,197.78,6.87,2.55,143.13,1.67,218.56,2.31,0.53,3.51,4.04,11.64,5.82,1.06
4562,穎漢,170.59,67.74,-2.88,2.53,144.26,0.62,588.70,0.91,0.31,-2.89,-7.84,-9.46,-11.57,-0.92
4564,元翎,266.16,199.13,-6.30,2.28,160.08,2.83,128.97,0.28,0.17,-4.22,-8.62,-20.53,-28.44,-1.87
4566,時碩工業,240.70,182.00,470.88,2.78,131.29,2.57,142.02,1.41,0.51,3.75,7.2,33.54,6.23,3.04
4569,六方科-KY,"1,725.22","1,484.54","4,192.43",3.88,94.07,3.11,117.36,1.15,0.46,3.53,3.83,31.10,7.78,3.26
4571,鈞興-KY,297.44,209.19,23.79,3.32,109.93,2.46,148.37,2.35,0.66,8.04,10.5,67.48,11.66,5.18
4572,駐龍,761.34,542.56,124.73,3.46,105.49,0.97,376.28,2.38,0.36,10.82,13.39,80.42,29.07,6.21
4576,大銀微系統,186.38,94.36,4.31,4.59,79.52,1.10,331.81,0.65,0.36,0.83,0.97,3.61,1.81,0.04
4581,光隆精密-KY,213.63,157.89,44.71,6.04,60.43,2.56,142.57,2.57,0.71,12.27,20.14,73.89,16.98,6.0
