股票代碼,公司簡稱,財務結構-負債佔資產比率(%),財務結構-長期資金佔不動產、廠房及設備比率(%),償債能力-流動比率(%),償債能力-速動比率(%),償債能力-利息保障倍數(%),經營能力-應收款項週轉率(次),經營能力-平均收現日數,經營能力-存貨週轉率(次),經營能力-平均售貨日數,經營能力-不動產、廠房及設備週轉率(次),經營能力-總資產週轉率(次),獲利能力-資產報酬率(%),獲利能力-權益報酬率(%),獲利能力-稅前純益佔實收資本比率(%),獲利能力-純益率(%),獲利能力-每股盈餘(元),現金流量-現金流量比率(%),現金流量-現金流量允當比率(%),現金流量-現金再投資比率(%)
2362,藍天,56.39,"3,242.36",101.88,83.94,2.32,8.58,42.54,5.30,68.86,7.62,0.26,1.83,2.56,17.43,4.35,1.81,2.89,107.02,-3.93
2363,矽統,0.76,"2,555.77","2,983.78","2,930.23","2,200.30",11.59,31.49,0.60,608.33,0.25,0.01,3.22,3.24,8.24,298.55,0.76,-199.92,-81.39,-5.11
2364,倫飛,67.24,191.51,86.23,52.27,9.69,15.07,24.22,2.65,137.73,4.02,0.88,9.22,27.42,35.51,9.57,3.51,22.46,360.02,17.33
2365,昆盈,15.18,519.67,624.47,554.47,12.36,10.71,34.08,2.47,147.77,1.21,0.22,2.23,2.44,4.16,9.42,0.33,68.01,181.03,4.57
2367,燿華,54.16,122.30,104.67,70.39,-53.00,3.57,102.24,5.37,67.97,1.23,0.67,-0.73,-3.35,-5.15,-2.30,-0.51,18.18,75.90,3.68
2368,金像電,49.15,325.78,237.82,174.30,44.50,2.78,131.29,3.85,94.80,4.54,0.95,11.48,22.65,106.09,11.74,7.25,50.76,106.08,9.38
2369,菱生,28.49,162.26,236.67,199.47,-3.97,5.21,70.05,10.15,35.96,1.36,0.71,-1.55,-2.75,-5.02,-2.83,-0.42,50.43,91.88,5.59
2371,大同,52.17,342.27,188.63,121.19,3.54,6.62,55.13,2.15,169.76,1.68,0.37,2.59,4.32,9.29,5.60,1.13,12.67,41.65,4.03
2373,震旦行,51.46,445.42,207.96,174.14,17.13,8.65,42.19,3.58,101.95,4.01,0.64,6.89,13.35,62.76,10.18,4.86,36.92,70.49,3.70
2374,佳能,25.47,214.63,210.90,173.83,32.84,6.87,53.12,2.97,122.89,1.58,0.55,2.80,3.63,10.50,4.92,0.96,36.95,39.50,6.48
2375,凱美,36.94,422.70,138.00,106.37,5.17,2.81,129.89,2.83,128.97,2.04,0.29,2.10,2.98,39.73,5.52,2.44,26.80,143.18,10.41
2376,技嘉,53.82,976.87,211.20,118.88,73.59,9.07,40.24,4.40,82.95,28.01,1.88,6.60,12.92,96.03,3.47,7.46,6.55,68.97,-3.41
2377,微星,44.57,975.38,208.42,118.09,"33,280.34",9.26,39.41,4.95,73.73,34.01,2.06,8.52,15.28,108.62,4.12,8.92,12.58,101.85,-1.06
2379,瑞昱,54.97,543.37,149.82,123.17,39.11,7.63,47.83,2.11,172.98,11.67,0.91,9.05,20.56,186.10,9.61,17.85,38.69,102.64,8.40
2380,虹光,67.86,238.26,119.26,66.66,-11.44,3.25,112.30,1.82,200.54,4.36,0.72,-14.14,-41.29,-18.75,-20.59,-1.88,14.01,-144.07,-10.46
