股票代碼,公司簡稱,財務結構-負債佔資產比率(%),財務結構-長期資金佔不動產、廠房及設備比率(%),償債能力-流動比率(%),償債能力-速動比率(%),償債能力-利息保障倍數(%),經營能力-應收款項週轉率(次),經營能力-平均收現日數,經營能力-存貨週轉率(次),經營能力-平均售貨日數,經營能力-不動產、廠房及設備週轉率(次),經營能力-總資產週轉率(次),獲利能力-資產報酬率(%),獲利能力-權益報酬率(%),獲利能力-稅前純益佔實收資本比率(%),獲利能力-純益率(%),獲利能力-每股盈餘(元),現金流量-現金流量比率(%),現金流量-現金流量允當比率(%),現金流量-現金再投資比率(%)
6671,三能-KY,22.19,220.46,291.38,206.55,61.02,8.44,43.24,3.44,106.10,2.27,0.86,8.22,10.49,42.00,9.36,2.89,49.68,111.55,3.19
6672,騰輝電子-KY,31.00,373.92,288.54,211.97,67.55,3.42,106.72,3.49,104.58,4.82,0.98,9.09,13.68,75.58,9.11,6.08,70.52,105.71,10.08
6674,鋐寶科技,31.14,747.42,290.76,152.66,-451.69,2.53,144.26,1.54,237.01,7.32,0.54,-15.10,-24.48,-45.18,-28.01,-4.84,0.00,69.69,-2.16
6689,伊雲谷,45.20,"14,759.59",188.09,162.21,42.27,5.62,64.94,7.04,51.84,629.52,1.71,3.13,5.91,30.76,1.79,2.70,-9.58,159.04,-13.25
6691,洋基工程,54.06,"1,678.90",183.19,103.62,820.39,8.18,44.62,0.37,986.48,44.41,1.31,14.99,32.90,251.54,11.38,20.22,27.93,104.42,8.33
6695,芯鼎,9.42,"3,439.67","1,058.31",850.16,0.00,7.39,49.39,1.30,280.76,26.80,0.58,-3.37,-3.74,-6.75,-5.86,-0.68,236.10,24.56,22.38
6698,旭暉應材,36.64,184.37,162.40,131.53,0.57,3.12,116.98,3.06,119.28,0.89,0.36,-0.26,-1.50,-13.51,-2.57,-1.30,18.68,39.33,7.66
6706,惠特,43.85,280.63,263.88,194.84,-27.49,1.97,185.27,0.98,372.44,0.84,0.20,-5.49,-9.62,-61.04,-28.28,-5.13,2.07,38.58,-4.13
6715,嘉基,20.24,320.07,432.80,366.43,105.21,2.23,163.67,2.31,158.00,2.70,0.62,9.54,12.80,80.36,15.30,6.38,150.72,150.42,15.94
6719,力智,8.40,"1,842.69",994.34,807.63,90.90,6.79,53.75,1.44,253.47,6.65,0.32,0.54,0.60,8.78,1.67,0.63,12.81,76.24,-8.62
6742,澤米,24.22,305.81,398.93,349.11,3.09,1.93,189.11,3.20,114.06,1.03,0.29,1.97,2.18,2.94,5.44,0.42,70.15,105.80,5.91
6743,安普新,66.99,108.63,79.05,38.71,1.04,3.72,98.11,1.66,219.87,1.17,0.48,1.54,-0.30,0.49,-0.21,-0.05,0.71,18.79,0.00
6753,龍德造船,66.55,181.90,119.21,94.36,15.54,86.59,4.21,3.91,93.35,2.09,0.63,7.70,23.19,67.29,11.53,5.43,54.42,164.54,60.86
6754,匯僑設計,54.58,277.12,162.13,156.18,236.83,5.87,62.18,66.98,5.44,5.26,1.00,6.05,13.10,63.40,6.03,4.25,24.26,164.60,11.37
6756,威鋒電子,20.81,"2,493.77",310.78,265.61,"1,222.87",8.56,42.64,1.05,347.61,20.70,0.55,4.86,5.98,30.82,8.87,2.62,138.29,76.90,15.28
6757,台灣虎航-創,76.56,"1,112.06",95.34,93.20,"1,039.04",72.79,5.01,38.00,9.60,11.38,0.77,12.44,70.89,50.96,14.65,4.27,93.42,235.64,166.07
6768,志強-KY,31.79,312.74,309.43,273.32,8.65,4.83,75.56,6.92,52.74,2.93,0.71,3.10,3.89,38.99,3.80,2.78,53.44,120.36,5.84
6770,力積電,50.31,138.03,183.93,147.06,-1.39,6.15,59.34,3.17,115.14,0.48,0.24,-0.63,-1.74,-5.10,-3.73,-0.40,4.47,63.59,0.08
6771,平和環保-創,42.91,113.66,125.44,116.50,"1,685.83",5.12,71.28,69.65,5.24,0.68,0.47,11.17,18.75,56.43,22.36,4.76,69.35,131.63,6.78
6776,展碁國際,64.66,"1,623.35",136.24,75.55,913.72,8.10,45.06,9.06,40.28,152.29,3.35,6.04,17.62,62.04,1.80,5.06,12.28,94.91,10.82
6782,視陽,36.87,203.13,201.56,128.11,"1,001.37",7.11,51.33,2.81,129.89,1.31,0.48,6.41,9.67,47.00,12.29,4.79,39.90,66.76,0.14
6789,采鈺,33.95,197.82,358.41,353.42,4.50,8.68,42.05,62.79,5.81,0.64,0.29,1.69,2.12,9.96,4.92,1.13,67.72,77.37,5.48
6790,永豐實,36.15,182.40,219.70,161.21,"12,934.71",8.23,44.34,6.12,59.64,3.06,1.20,11.40,17.59,45.18,9.47,3.62,71.91,139.38,9.25
6792,詠業,17.25,322.25,432.52,333.76,"9,720.09",4.96,73.58,2.52,144.84,2.44,0.64,9.14,11.48,46.43,14.19,4.18,82.74,80.20,2.20
6794,向榮生技-創,13.05,647.11,"2,998.62","2,853.86",無,19.43,18.78,0.55,663.63,0.23,0.04,-15.03,-18.08,-15.10,-342.06,-1.56,無,無,無
6796,晉弘,40.89,375.59,566.47,466.24,22.13,5.73,63.69,1.26,289.68,2.26,0.49,7.07,10.28,26.89,13.79,2.20,103.19,62.49,8.88
6799,來頡,13.10,878.87,686.51,596.06,"3,280.90",5.85,62.39,2.94,124.14,10.54,0.66,14.08,16.47,64.07,21.37,5.42,135.13,50.87,9.83
6805,富世達,48.54,47.86,220.99,189.54,32.35,5.85,62.39,3.78,96.56,16.83,0.77,8.88,17.99,132.90,11.13,10.18,31.81,153.77,18.07
6806,森崴能源,57.94,336.76,188.78,68.46,19.56,16.69,21.86,無,無,3.57,0.47,2.77,5.45,35.73,5.54,2.94,0.00,0.00,0.00
6807,峰源-KY,35.16,195.82,163.30,130.21,"1,223.61",9.54,38.25,8.96,40.73,3.44,1.19,7.59,11.65,55.24,6.35,4.41,49.03,91.76,16.79
6830,汎銓,39.71,164.82,205.02,188.47,22.11,2.84,128.52,無,無,0.99,0.47,6.78,10.17,72.42,13.89,5.59,93.13,0.89,9.45
6834,天二科技,31.15,165.50,162.12,106.16,-21.97,3.43,106.41,2.71,134.68,1.06,0.45,-4.34,-6.36,-15.47,-10.20,-1.09,6.10,128.46,-2.93
6835,圓裕,43.39,"1,029.76",217.54,187.84,29.51,2.34,155.98,4.66,78.32,12.15,0.78,8.66,14.92,48.19,10.74,3.57,29.93,118.08,8.84
6854,錼創科技-KY創,14.95,288.25,462.80,379.52,"-34,574.71",13.34,27.36,4.61,79.17,1.40,0.36,-19.55,-23.31,-47.85,-54.38,-4.78,-168.36,-148.45,無
6861,睿生光電,43.36,635.85,218.89,151.00,17.75,2.97,122.89,2.18,167.43,8.40,0.86,5.74,11.10,30.55,6.35,3.00,12.22,無,3.89
6863,永道-KY,16.49,504.26,350.75,287.98,236.89,5.67,64.37,3.55,102.81,2.57,0.50,8.32,9.72,52.60,16.68,6.17,14.56,無,-0.19
6869,雲豹能源-創,52.59,190.14,128.10,109.25,"1,958.00",22.86,15.96,47.17,7.73,2.93,0.79,12.62,28.96,104.59,14.98,8.77,57.23,43.96,18.59
6873,泓德能源-創,55.29,431.18,233.45,188.95,18.67,61.91,5.89,0.57,640.35,4.24,0.61,9.00,17.70,100.27,14.02,8.36,-42.37,50.59,-24.57
6901,鑽石投資,1.38,"1,236,962.82","14,637.93","9,217.97","-320,473.57",無,無,無,無,"-2,077.07",-0.20,-21.31,-21.61,-30.40,-105.90,-3.32,無,無,無
6902,走著瞧-創,33.45,"6,362.65",287.47,275.62,7.95,6.47,56.41,無,無,111.89,1.42,1.04,1.48,1.56,0.66,0.16,15.60,"1,274.75",7.39
6906,現觀科,23.06,"9,213.52",468.55,467.02,291.38,5.38,67.84,無,無,60.17,0.53,15.92,21.21,44.49,29.60,3.60,81.18,180.83,1.53
6914,阜爾運通,68.64,546.55,58.94,52.41,10.39,19.78,18.45,33.57,10.87,4.69,0.64,9.17,26.27,114.14,12.83,9.11,115.91,364.32,40.74
6916,華凌,49.28,465.56,164.88,124.53,11.90,9.33,39.12,3.13,116.61,7.15,0.96,3.93,7.64,21.01,3.63,1.33,32.77,193.43,13.84
6928,攸泰科技,36.77,"2,751.50",272.91,158.89,62.12,8.23,44.34,2.71,134.68,83.51,1.72,12.13,20.43,42.60,6.93,3.44,93.72,68.36,46.13
6933,AMAX-KY,46.61,"3,227.27",225.99,134.16,15.32,7.78,46.91,4.22,86.49,96.49,2.07,9.21,16.16,77.20,4.17,6.88,17.89,28.97,6.55
6937,天虹,24.54,316.54,494.37,285.63,44.83,4.32,84.49,0.95,384.21,2.14,0.75,8.81,12.33,54.03,15.39,5.02,7.68,無,-0.41
6949,沛爾生醫-創,16.70,"1,417.16","1,262.11","1,247.97","-15,598.04",2.64,138.25,10.22,35.71,0.18,0.01,-32.42,-40.20,-74.38,"-2,225.03",-8.62,無,無,無
8011,台通,52.05,277.95,198.89,125.84,1.45,9.34,39.07,2.89,126.29,0.91,0.29,1.31,1.04,1.86,1.81,0.09,-31.48,35.47,-5.24
8016,矽創,25.47,803.95,317.62,255.14,455.34,11.84,30.82,3.11,117.36,9.11,0.84,12.24,16.46,236.44,14.45,15.50,94.14,135.72,10.18
8021,尖點,27.16,273.02,416.65,354.02,9.06,2.76,132.24,3.06,119.28,1.42,0.39,-0.35,-0.75,9.64,-1.40,-0.25,39.65,113.95,1.11
8028,昇陽半導體,57.15,137.04,237.12,217.35,6.71,8.39,43.50,8.37,43.60,0.58,0.37,4.12,9.01,20.28,9.38,2.02,58.81,40.85,3.70
8033,雷虎,38.64,596.41,214.48,98.18,-0.66,5.26,69.39,0.96,380.20,4.25,0.51,-0.65,-2.00,-1.71,-2.38,-0.18,無,無,無
8039,台虹,38.08,197.13,179.72,144.17,"1,586.07",2.17,168.20,3.99,91.47,1.93,0.62,2.98,4.47,23.06,4.42,2.02,30.99,80.04,6.25
8046,南電,31.99,111.14,268.93,223.70,368.00,3.88,94.07,7.03,51.92,1.05,0.56,7.66,11.45,109.98,13.77,9.00,181.46,103.91,4.72
8070,長華*,46.12,640.88,157.62,134.89,15.04,4.56,80.04,5.49,66.48,4.13,0.47,6.92,12.51,389.89,13.63,2.19,34.66,133.97,7.50
8072,陞泰,7.08,330.86,"1,045.55",966.51,無,4.85,75.25,6.38,57.21,1.64,0.47,2.74,2.94,11.17,5.94,0.73,151.22,102.52,6.50
8081,致新,19.94,745.04,419.48,329.22,"1,610.09",5.55,65.76,2.31,158.00,6.84,0.81,15.15,21.51,207.19,18.78,17.33,136.03,126.01,16.48
8101,華冠,85.01,496.49,44.79,27.54,-15.88,0.94,388.29,1.45,251.72,1.93,0.24,-27.91,-104.20,-25.95,-121.19,-2.79,-35.68,-419.32,-10.72
