股票代號,公司簡稱,當盤成交價,當盤成交量,累積成交量,開盤價,最高價,最低價,昨收價,漲跌百分比
3332,幸康,-,-,67,41.5000,42.6000,41.2000,41.5000,0.0
3339,泰谷,40.25,115.0,3262.0,40.0,40.9,38.55,37.75,6.622516556291391
3349,寶德,-,-,49,26.8000,28.8000,26.8000,26.8500,0.0
3354,律勝,18.65,6.0,54.0,18.7,18.85,18.6,18.45,1.0840108401083972
3357,臺慶科,131.0,45.0,887.0,128.5,133.5,128.5,125.0,4.8
3360,尚立,14.3,7.0,281.0,14.45,14.6,14.25,14.1,1.4184397163120643
3362,先進光,212.0,56.0,1648.0,210.0,217.5,209.0,204.5,3.6674816625916873
3363,上詮,144.0,357.0,6334.0,154.5,155.5,143.0,147.5,-2.3728813559322033
3372,典範,18.45,28.0,636.0,18.6,18.7,18.4,18.1,1.9337016574585517
3373,熱映,22.7,4.0,63.0,22.75,23.0,22.45,22.6,0.4424778761061852
3374,精材,208.0,801.0,19424.0,217.5,221.0,207.0,206.0,0.9708737864077669
3379,彬台,38.3,139.0,3306.0,40.9,41.75,38.3,38.3,0.0
3388,崇越電,70.8,2.0,48.0,70.0,71.2,70.0,69.6,1.7241379310344869
3390,旭軟,-,-,850,30.7000,31.2000,30.7000,28.4000,0.0
3402,漢科,94.8,18.0,503.0,95.9,97.7,94.5,92.0,3.0434782608695623
3426,台興,-,-,5,44.2500,44.3000,43.1500,44.3000,0.0
3430,奇鈦科,58.0,21.0,671.0,54.2,59.4,54.0,54.0,7.4074074074074066
3434,哲固,-,-,157,27.0000,28.1500,26.9000,25.6000,0.0
3438,類比科,70.0,11.0,190.0,69.9,71.2,69.8,68.3,2.4890190336749676
3441,聯一光,32.75,5.0,74.0,33.2,33.45,32.7,32.65,0.3062787136294071
3444,利機,91.7,18.0,275.0,95.9,96.2,91.7,92.6,-0.9719222462202932
3455,由田,105.5,29.0,514.0,106.0,108.5,105.5,103.0,2.4271844660194173
3465,進泰電子,63.2,2.0,32.0,68.9,68.9,62.9,63.6,-0.6289308176100606
3466,德晉,71.4,18.0,401.0,71.5,73.2,71.1,70.3,1.5647226173542084
3479,安勤,102.0,8.0,510.0,103.0,104.5,101.0,99.2,2.8225806451612874
3483,力致,146.5,112.0,2221.0,149.5,152.0,146.5,142.5,2.807017543859649
3484,崧騰,53.0,46.0,1523.0,54.9,54.9,52.2,52.1,1.7274472168905923
3489,森寶,31.3,23.0,987.0,31.45,33.4,31.2,30.65,2.1207177814029436
3490,單井,32.75,31.0,781.0,33.0,33.65,32.65,32.6,0.4601226993864987
3491,昇達科,300.0,139.0,2087.0,310.0,313.0,299.0,302.0,-0.6622516556291391
3492,長盛,25.3,1.0,379.0,25.0,25.3,24.5,23.0,10.000000000000004
3498,陽程,43.2,79.0,2453.0,45.1,45.7,42.9,42.9,0.6993006993007093
3499,環天科,20.25,3.0,95.0,20.6,20.6,20.1,20.0,1.25
3508,位速,25.3,3.0,122.0,25.75,26.0,25.3,25.0,1.2000000000000028
3511,矽瑪,23.8,4.0,132.0,24.0,24.85,23.75,23.4,1.7094017094017186
3512,皇龍,34.05,3.0,215.0,33.7,34.8,33.7,34.3,-0.728862973760933
3516,亞帝歐,24.45,2.0,84.0,24.45,24.9,24.45,24.1,1.4522821576763396
3520,華盈,19.3,24.0,334.0,19.45,19.95,19.0,18.95,1.8469656992084509
3521,鴻翊,18.35,5.0,178.0,17.9,19.2,17.8,17.7,3.672316384180803
3522,御頂,25.55,125.0,7377.0,24.0,25.55,23.95,23.25,9.892473118279572
3523,迎輝,-,-,25,18.3500,18.3500,18.0000,18.3500,0.0
3526,凡甲,221.5,16.0,197.0,226.5,226.5,221.5,221.5,0.0
3527,聚積,79.1,7.0,84.0,78.5,80.8,78.5,78.5,0.7643312101910755
