股票代碼,公司簡稱,償債能力-流動比率(%),償債能力-速動比率(%),償債能力-利息保障倍數(%),經營能力-應收款項週轉率(次),經營能力-平均收現日數,經營能力-存貨週轉率(次),經營能力-平均售貨日數,經營能力-不動產、廠房及設備週轉率(次),經營能力-總資產週轉率(次),獲利能力-資產報酬率(%),獲利能力-權益報酬率(%),獲利能力-稅前純益佔實收資本比率(%),獲利能力-純益率(%),獲利能力-每股盈餘(元)
2007,燁興,92.07,41.52,-5.52,36.02,10.13,4.89,74.64,1.01,0.42,-7.18,-15.56,-18.52,-19.57,-1.85
2008,高興昌,114.79,74.94,564.87,13.26,27.52,1.66,219.87,0.97,0.19,6.80,13.82,21.59,19.53,2.24
2009,第一銅,127.90,23.54,120.72,12.92,28.25,1.42,257.04,2.48,0.36,0.16,-0.18,0.16,-0.35,-0.03
2010,春源,187.61,131.28,13.33,4.47,81.65,3.32,109.93,3.85,1.04,4.69,7.54,17.31,4.20,1.35
2012,春雨,428.48,247.17,5.28,4.28,85.28,1.85,197.29,2.85,0.68,3.70,7.11,17.19,4.26,0.91
2013,中鋼構,126.32,18.05,9.52,17.86,20.43,2.39,152.71,10.63,1.35,4.28,10.05,31.69,2.84,2.68
2014,中鴻,150.96,43.85,1.80,73.05,4.99,4.02,90.79,3.93,1.08,0.92,0.96,1.13,0.42,0.11
2015,豐興,275.86,99.17,72.12,17.48,20.88,4.47,81.65,3.64,1.29,9.14,10.87,49.90,6.81,4.08
2017,官田鋼,71.50,41.50,-2.00,12.98,28.12,2.20,165.90,0.80,0.30,-1.10,-3.3,-6.80,-6.80,-0.68
2020,美亞,178.60,86.90,22.28,12.95,28.18,2.87,127.17,6.74,0.94,15.06,29.39,59.41,15.26,4.8
2022,聚亨,271.89,128.33,3.76,14.12,25.84,3.16,115.50,2.68,0.97,2.98,2.92,6.62,2.32,0.24
2023,燁輝,109.87,60.23,0.30,18.18,20.07,6.53,55.89,1.62,0.79,0.09,-4.6,-6.87,-1.98,-0.55
2024,志聯,233.30,104.72,-2.07,4.63,78.83,1.44,253.47,0.92,0.53,0.50,-4.78,-5.98,-5.98,-0.56
2025,千興,"1,353.46",512.18,無,無,無,1.87,195.18,1.94,0.44,13.74,14.39,8.66,30.89,0.81
2027,大成鋼,294.35,67.41,9.29,12.96,28.16,1.27,287.40,3.87,0.72,5.50,9.18,39.47,6.73,2.3
